Epoch 229: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 230: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 231: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 232: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 233: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 234: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 235: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 236: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 237: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 238: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 239: duration loss = 0.166 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 240: duration loss = 0.165 | prior loss = 0.958 | diffusion loss = 0.051
Epoch 241: duration loss = 0.165 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 242: duration loss = 0.165 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 243: duration loss = 0.165 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 244: duration loss = 0.165 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 245: duration loss = 0.165 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 246: duration loss = 0.165 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 247: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.054
Epoch 248: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 249: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 250: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 251: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.054
Epoch 252: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 253: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 254: duration loss = 0.164 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 255: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.054
Epoch 256: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 257: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 258: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.054
Epoch 259: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 260: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 261: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 262: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 263: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.054
Epoch 264: duration loss = 0.163 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 265: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 266: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 267: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 268: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.052
